RefSeq	Symbol	Chr	Start	End	Strand	txLength	countLength	Cond1_Samp1	Cond1_Samp2	Cond2_Samp1	Cond2_Samp2	Cond3_Samp1	Cond3_Samp2	Cond4_Samp1	Cond5_Samp2
NM_007387	ACP2	chr2	91043068	91054255	+	11187	4011	1041	862	528	386	816	729	948	657
NM_207668	ACPP	chr9	104190569	104240052	-	49483	4488	1	0	1	0	0	0	0	0
NM_001195034	ACPT	chr7	51508456	51512574	-	4118	1278	2	1	6	4	3	1	0	2
NM_007391	ACRV1	chr9	36500804	36506422	+	5618	1095	0	0	0	0	0	0	0	0
NM_027976	ACSL5	chr19	55327858	55371118	+	43260	3151	587	1031	619	985	280	306	296	207
NM_080575	ACSS1	chr2	150443846	150493976	-	50130	3521	0	1	0	0	0	1	1	3
NM_019811	ACSS2	chr2	155343778	155388479	+	44701	2720	291	435	93	140	297	323	1952	1008
NM_001142804	ACSS3	chr10	106373219	106560720	-	187501	2130	0	0	0	0	1	0	41	129
NM_007392	ACTA2	chr19	34314825	34329863	-	15038	2572	5083	3185	6302	3692	11	17	156	25
NM_007393	ACTB	chr5	143664794	143668403	-	3609	1889	13969	18944	19719	23448	7040	8100	5029	7422
NM_009610	ACTG2	chr6	83462902	83486245	-	23343	1315	66	62	88	72	0	0	3	0
NM_001171640	ACTL10	chr2	154377511	154379012	+	1501	1501	3	2	2	4	2	2	3	0
NM_019673	ACTL6A	chr3	32607467	32625893	+	18426	1969	258	548	371	378	542	591	264	236
NM_009611	ACTL7A	chr4	56756293	56757797	+	1504	1504	0	1	1	1	0	0	0	1
NM_025271	ACTL7B	chr4	56752876	56754297	-	1421	1421	1	0	0	0	1	0	0	0
NM_021895	ACTN4	chr7	29678272	29747299	-	69027	3479	2644	5348	5280	7959	2962	3327	1957	1489
NM_016860	ACTR1A	chr19	46451303	46470225	-	18922	2742	2176	3418	2532	3061	4137	3694	3003	2713
NM_025914	ACTR6	chr10	89174717	89195040	-	20323	1703	95	86	117	113	331	246	269	195
NM_007397	ACVR2B	chr9	119311618	119342624	+	31006	1701	14	13	3	1	11	18	42	31
NM_001277259	ACVRL1	chr15	100958952	100975767	+	16815	3658	99	155	60	61	22	17	122	75
NM_001276442	ACY1	chr9	106335311	106340567	-	5256	1442	159	137	68	72	124	113	116	124
NM_007398	ADA	chr2	163552306	163575975	-	23669	1701	43	77	76	71	23	18	5	7
NM_029428	ADAD2	chr8	122136646	122140826	+	4180	1928	0	0	0	0	0	0	0	0
NM_009613	ADAM11	chr11	102622752	102641576	+	18824	4620	12	6	3	2	1	2	4	4
NM_009614	ADAM15	chr3	89143561	89153932	-	10371	2842	1081	1179	1481	1583	3679	4410	2055	1934
NM_001277266	ADAM17	chr12	21329369	21379493	-	50124	4409	1068	1352	758	802	1122	1226	760	860
NM_010084	ADAM18	chr8	25712717	25785227	-	72510	2361	0	0	0	0	0	0	0	0
NM_020330	ADAM21	chr12	82659570	82669461	-	9891	2911	1	2	4	8	4	5	4	4
NM_001098225	ADAM22	chr5	8072351	8368081	-	295730	9068	5	5	4	8	3	2	4	3
NM_011780	ADAM23	chr1	63492477	63643089	+	150612	6656	2688	4829	1719	2802	1334	1529	1265	686
NM_027665	ADAM30	chr3	97964734	97967096	+	2362	2362	0	0	0	2	1	0	0	0
NM_007402	ADAM7	chr14	69115393	69151746	-	36353	3468	0	0	0	0	0	0	0	0
NM_001291066	ADAM8	chr7	147164836	147178408	-	13572	3055	26	55	227	336	41	106	7	18
NM_021475	ADAMDEC1	chr14	69181443	69200129	-	18686	2412	1	0	2	0	0	0	1	0
NM_175501	ADAMTS12	chr15	10994544	11276622	+	282078	6234	1503	550	1797	569	2107	1189	2233	1612
NM_001081127	ADAMTS14	chr10	60659859	60736186	-	76327	5188	278	500	859	576	48	25	44	69
NM_177431	ADAMTS20	chr15	94100593	94234781	-	134188	6119	0	0	1	0	0	0	0	0
NM_001003911	ADAMTS7	chr9	90057815	90094940	+	37125	5346	402	413	118	151	20	15	81	52
NM_013906	ADAMTS8	chr9	30750147	30770443	+	20296	3632	1	0	2	0	4	0	1	0
NM_029967	ADAMTSL1	chr4	85699818	86074286	+	374468	7839	3	1	3	0	0	0	0	0
NM_029981	ADAMTSL2	chr2	26934900	26964133	+	29233	3242	2	0	8	2	5	1	1	3
NM_001190374	ADAMTSL3	chr7	89484203	89762958	+	278755	7285	23	15	4	8	0	1	2	4
NM_001285435	ADAMTSL5	chr10	79802537	79811193	-	8656	3041	367	263	147	98	25	35	35	24
NM_172723	ADAP1	chr5	139747829	139801418	-	53589	2399	0	0	1	2	1	2	4	4
NM_130895	ADARB1	chr10	76753471	76881018	-	127547	6556	240	208	761	617	387	318	436	536
NM_013925	ADAT1	chr8	114490807	114516202	-	25395	3159	64	81	119	114	135	144	96	60
NM_023341	ADCK3	chr1	182095368	182126151	-	30783	3661	49	44	10	10	291	238	2052	1993
NM_080435	ADCY4	chr14	56387928	56402856	-	14928	3395	2	3	9	6	3	1	1	2
NM_001012765	ADCY5	chr16	35155721	35304635	+	148914	5060	4	5	6	19	8	19	21	22
NM_009623	ADCY8	chr15	64530596	64753858	-	223262	5039	0	0	0	0	0	0	0	0
NM_009624	ADCY9	chr16	4284885	4420498	-	135613	7840	354	319	272	245	253	217	554	521
NM_013457	ADD1	chr5	34916362	34974954	+	58592	3954	3968	4676	2469	2725	2339	2441	2232	1883
NM_001271858	ADD2	chr6	85978674	86074403	+	95729	8205	0	0	0	1	0	0	0	0
NM_001127353	ADGB	chr10	10055500	10192112	-	136612	5218	2	2	1	1	0	0	1	0
NM_001288578	ADH5	chr3	138100163	138118463	+	18300	1586	927	966	923	824	1298	1391	1137	1288
NM_175236	ADHFE1	chr1	9538126	9568049	+	29923	3090	108	75	42	32	351	443	4054	3508
NM_134079	ADK	chr14	21871795	22267791	+	395996	1782	637	1079	420	606	586	628	430	309
NM_009627	ADM	chr7	117771182	117773333	+	2151	1381	193	366	125	313	3	3	34	101
NM_175028	ADNP2	chr18	80323873	80348221	-	24348	4188	633	713	391	463	410	397	394	397
NM_001005419	ADO	chr10	67007258	67011703	-	4445	4445	400	720	561	642	1147	1096	464	547
NM_028121	ADPGK	chr9	59139378	59164007	+	24629	2471	693	673	1630	1168	1095	1049	546	503
NM_013460	ADRA1D	chr2	131371092	131388021	-	16929	2394	125	320	41	16	358	509	704	551
NM_007417	ADRA2A	chr19	54119671	54123472	+	3801	3801	2	12	10	28	5	1	1	5
NM_009633	ADRA2B	chr2	127189021	127192957	+	3936	3936	0	0	0	0	0	0	0	0
NM_007418	ADRA2C	chr5	35621214	35624412	+	3198	3198	0	0	0	0	0	0	0	0
NM_007419	ADRB1	chr19	56796861	56799352	+	2491	2491	9	23	3	9	4	5	17	9
NM_007420	ADRB2	chr18	62337366	62339635	-	2269	2269	2	2	3	1	24	23	60	109
NM_177078	ADRBK2	chr5	113339497	113444558	-	105061	6561	0	0	1	0	0	0	0	1
NM_007422	ADSS	chr1	179693308	179726640	-	33332	2553	691	1481	1133	1374	1538	1577	522	678
NM_009636	AEBP1	chr11	5761868	5772228	+	10360	4003	2796	1494	1667	990	28	28	22	13
NM_009637	AEBP2	chr6	140572818	140625939	+	53121	912	376	593	501	765	385	357	379	393
NM_001162939	AEN	chr7	86040812	86053719	+	12907	2466	473	816	1039	1137	670	768	200	243
NM_001276288	AES	chr10	81022188	81029116	+	6928	1467	2628	3965	1430	2248	1782	1523	1782	1613
NM_133919	AFF1	chr5	104183180	104284341	+	101161	8323	1253	1631	1981	1983	2035	2705	1342	1534
NM_145146	AFM	chr5	90947974	90982570	+	34596	2022	0	0	0	0	0	0	0	0
NM_027827	AFMID	chr11	117687232	117701222	+	13990	2244	73	98	47	47	74	94	67	49
NM_181411	AFTPH	chr11	20585087	20641559	-	56472	3964	431	528	262	305	451	463	484	538
NM_001284190	AGBL4	chr4	110070302	111335629	+	1265327	1659	0	0	0	0	0	0	0	0
NM_001081326	AGL	chr3	116442916	116511084	-	68168	9625	490	586	306	405	577	450	742	818
NM_001081408	AGMAT	chr4	141302589	141315178	+	12589	1404	0	1	0	0	1	0	0	0
NM_001163379	AGPAT1	chr17	34742805	34750394	+	7589	2090	826	892	878	719	1633	1855	1350	1142
NM_026212	AGPAT2	chr2	26448576	26459937	-	11361	1574	257	281	338	240	7611	6459	4155	5391
NM_026644	AGPAT4	chr17	12312149	12412506	+	100357	1910	359	367	634	422	441	607	109	179
NM_026792	AGPAT5	chr8	18846278	18884413	+	38135	3829	266	299	1103	1191	759	717	460	578
NM_172666	AGPS	chr2	75670233	75769407	+	99174	7359	1009	1409	946	1091	917	975	836	683
NM_207531	AGR3	chr12	36652207	36676317	+	24110	819	0	0	0	0	0	0	0	0
NM_009642	AGTRAP	chr4	147451169	147462173	-	11004	4029	706	818	1818	627	486	705	276	292
NM_001276710	AGXT	chr1	95031816	95041998	+	10182	1553	0	1	0	0	0	0	0	0
NM_001031851	AGXT2	chr15	10288333	10339493	+	51160	1825	0	0	0	0	0	0	0	0
NM_145542	AHCYL1	chr3	107466037	107499466	-	33429	3851	2037	2878	2437	2838	2880	2875	1697	1928
NM_146155	AHDC1	chr4	132567420	132634025	+	66605	6602	1031	1161	848	729	544	583	511	464
NM_019467	AIF1	chr17	35307936	35312946	-	5010	875	13	8	6	4	1	1	3	0
NM_145144	AIF1L	chr2	31805822	31828962	+	23140	2953	151	241	102	102	8	5	17	2
NM_001162970	AIM1L	chr4	133624366	133648419	+	24053	4761	0	0	0	0	0	0	0	0
NM_009646	AIRE	chr10	77492766	77506355	-	13589	1968	0	0	0	0	0	0	0	0
NM_001099299	AJAP1	chr4	152747329	152856939	-	109610	3067	0	0	0	0	0	0	0	0
NM_030187	AK7	chr12	106944191	107020657	+	76466	3093	3	1	0	0	0	1	0	0
NM_009650	AKAP3	chr6	126803115	126824326	+	21211	3153	5	1	2	0	0	0	2	2
NM_198111	AKAP6	chr12	53800369	54252002	+	451633	10263	70	101	7	11	8	4	14	10
NM_018747	AKAP7	chr10	24888895	25018969	-	130074	3123	92	110	49	63	112	122	338	198
NM_017476	AKAP8L	chr17	32458368	32487522	-	29154	2072	375	353	384	293	780	747	991	822
NM_009658	AKR1B1	chr6	34253929	34267489	-	13560	50	4	13	9	8	13	10	18	2
NM_018859	AKR1E2	chr13	4591735	4608410	-	16675	1713	111	110	72	79	133	98	129	90
NM_025337	AKR7A2	chr4	138866658	138874701	+	8043	1648	288	303	344	292	758	832	996	886
NM_001110208	AKT2	chr7	28376578	28424472	+	47894	3163	960	1079	522	567	2660	2641	3472	2397
NM_008525	ALAD	chr4	62167017	62181097	-	14080	4536	218	330	291	317	977	896	2363	2082
NM_027406	ALDH1L1	chr6	90500841	90549165	+	48324	3084	3	9	1	3	15	22	462	1269
NM_009656	ALDH2	chr5	122017695	122043833	-	26138	2207	1783	2115	1440	1771	1330	1447	5312	3823
NM_007437	ALDH3A2	chr11	61058253	61080688	-	22435	3193	760	796	495	652	441	372	490	414
NM_026316	ALDH3B1	chr19	3913490	3929716	-	16226	1832	176	219	51	68	64	81	244	176
NM_001177438	ALDH3B2	chr19	3972327	3981665	+	9338	2161	14	11	6	8	56	45	638	864
NM_019993	ALDH9A1	chr1	169280121	169298661	+	18540	2833	996	1233	469	615	1077	1044	2119	2136
NM_009657	ALDOC	chr11	78137699	78140262	+	2563	1702	0	8	1	3	2	7	2	1
NM_145362	ALG1	chr16	5233713	5245001	+	11288	1292	277	265	308	216	426	412	331	316
NM_001142357	ALG12	chr15	88635672	88649748	-	14076	2131	95	119	143	94	142	148	143	134
NM_001081264	ALG6	chr4	99382320	99430151	+	47831	3114	140	158	79	80	171	153	128	127
NM_175016	ALKBH2	chr5	114573942	114578185	-	4243	1065	39	56	34	22	62	55	61	89
NM_053156	ALLC	chr12	29238619	29267348	-	28729	1460	0	0	0	0	0	0	0	0
NM_009663	ALOX5AP	chr5	150076633	150099623	+	22990	854	3	3	1	1	1	0	0	0
NM_011786	ALOXE3	chr11	68939878	68962617	+	22739	2538	17	6	5	0	1	0	0	0
NM_001037294	ALPK2	chr18	65425185	65553542	-	128357	7247	0	0	0	0	0	0	0	0
NM_007431	ALPL	chr4	137297645	137352299	-	54654	2524	2	2	40	29	50	80	27	52
NM_008537	AMACR	chr15	10911510	10926379	+	14869	2575	226	216	231	200	685	689	402	772
NM_009665	AMD1	chr10	40007263	40021994	-	14731	9	1	1	0	0	0	0	0	0
NM_007445	AMH	chr10	80267992	80270393	+	2401	1665	2	8	5	10	9	6	3	11
NM_177275	AMIGO3	chr9	107955489	107958032	+	2543	2543	41	57	95	89	50	48	57	75
NM_019496	AMMECR1	chrX	139288016	139401271	-	113255	3109	150	231	249	318	171	163	95	78
NM_001276301	AMPD3	chr7	117911719	117955922	+	44203	3978	344	434	137	236	61	263	23	60
NM_175007	AMPH	chr13	19040219	19242788	+	202569	3219	0	0	0	0	0	0	0	0
NM_001110505	AMY1A	chr3	113258869	113280668	-	21799	1663	1	1	3	3	0	1	128	25
NM_008569	ANAPC1	chr2	128435818	128513131	-	77313	8967	2755	4004	3182	2800	3237	2978	2544	2402
NM_001042491	ANAPC5	chr5	123237469	123271351	-	33882	2722	2097	3209	1902	2464	2948	2787	2258	1738
NM_001199020	ANGEL2	chr1	192748986	192770370	+	21384	3095	465	730	386	452	627	743	925	732
NM_007426	ANGPT2	chr8	18690262	18741562	-	51300	3560	96	71	76	35	21	19	44	39
NM_013913	ANGPTL3	chr4	98697645	98704879	+	7234	1604	0	0	1	0	0	1	2	0
NM_001039554	ANGPTL7	chr4	147869388	147874571	-	5183	2062	7	5	24	18	31	8	1	0
NM_001277280	ANK1	chr8	24085307	24260969	+	175662	7450	51	180	36	62	102	69	31	25
NM_178655	ANK2	chr3	126624524	126701370	-	76846	5770	258	229	119	105	36	17	17	23
NM_175375	ANKHD1	chr18	36720256	36818562	+	98306	8231	1405	1593	1288	1235	1202	1106	958	885
NM_172922	ANKK1	chr9	49223326	49235126	-	11800	2686	0	1	0	1	0	0	0	0
NM_172756	ANKLE1	chr8	73929910	73933803	+	3893	2134	12	115	11	46	93	91	6	3
NM_027922	ANKLE2	chr5	110660022	110685670	+	25648	5256	708	884	607	667	851	808	774	734
NM_146033	ANKMY2	chr12	36883710	36923878	+	40168	2446	309	377	176	186	235	239	363	257
NM_001281974	ANKRD10	chr8	11611580	11635757	-	24177	2360	638	629	774	575	465	310	288	262
NM_153502	ANKRD23	chr1	36587378	36592574	-	5196	1954	63	72	84	65	54	50	65	92
NM_145633	ANKRD27	chr7	36371265	36424256	+	52991	4292	502	626	742	568	571	537	457	375
NM_001190371	ANKRD29	chr18	12410865	12464229	-	53364	3256	0	0	2	2	0	0	0	0
NM_001081139	ANKRD35	chr3	96474053	96494957	+	20904	4054	1	5	2	4	6	12	56	91
NM_001039562	ANKRD37	chr8	47082261	47085204	-	2943	855	24	30	9	26	20	14	89	170
NM_027799	ANKRD40	chr11	94189314	94203161	+	13847	3493	814	1223	497	698	1196	1279	2051	1860
NM_028664	ANKRD45	chr1	163072842	163100638	+	27796	3723	0	1	0	0	1	0	0	2
NM_172790	ANKRD52	chr10	127814179	127831062	+	16883	6609	721	1149	1005	1151	937	766	487	518
NM_029898	ANKRD55	chr13	113078658	113174210	+	95552	2781	12	12	1	1	0	0	2	1
NM_001081971	ANKRD63	chr2	118524838	118529699	-	4861	4861	0	1	0	0	0	0	5	7
NM_029202	ANKRD7	chr6	18816317	18829584	+	13267	1188	0	0	0	0	1	1	0	0
NM_175207	ANKRD9	chr12	112213562	112217231	-	3669	2558	45	80	54	116	238	288	87	226
NM_001128086	ANKS1B	chr10	89336253	90435729	+	1099476	6994	1	0	0	1	0	0	0	0
NM_001271884	ANO7	chr1	95270472	95300881	+	30409	3899	1	0	1	0	0	2	0	1
NM_054041	ANTXR1	chr6	87083846	87285769	-	201923	5264	3772	1835	3450	1831	523	774	295	152
NM_133738	ANTXR2	chr5	98313706	98459981	-	146275	3751	1248	923	642	455	427	302	501	279
NM_172808	ANTXRL	chr14	34866655	34889185	+	22530	1858	0	5	0	1	1	3	3	3
NM_013470	ANXA3	chr5	97222403	97274987	+	52584	1597	459	1005	507	847	17	18	11	18
NM_001110794	ANXA7	chr14	21274482	21299355	-	24873	2850	959	1335	431	604	704	761	942	759
NM_013473	ANXA8	chr14	34899164	34913754	+	14590	1879	83	823	366	774	7337	11858	5220	5021
NM_009676	AOX1	chr1	58086812	58163254	+	76442	4382	115	185	50	88	173	202	741	504
NM_001243043	AP1B1	chr11	4847523	4942797	+	95274	3890	801	920	658	614	1176	1227	695	699
NM_007455	AP1G2	chr14	55717686	55725430	-	7744	2527	89	118	46	52	149	177	174	228
NM_007456	AP1M1	chr8	74764030	74781278	+	17248	1964	694	1060	391	527	792	827	514	510
NM_001110300	AP1M2	chr9	21099900	21116777	-	16877	1738	1	0	0	0	0	0	0	0
NM_007457	AP1S1	chr5	137510863	137521930	-	11067	1277	1026	1924	1092	1454	2860	2997	1299	1353
NM_009679	AP2M1	chr16	20535576	20544126	+	8550	2057	862	1529	1021	1310	1461	1481	574	552
NM_026193	AP4B1	chr3	103613439	103625948	+	12509	2910	292	298	217	185	468	452	473	553
NM_001282947	APAF1	chr10	90452055	90545488	-	93433	6481	678	960	366	441	276	229	134	129
NM_007461	APBA2	chr7	71646591	71898762	+	252171	3319	0	1	0	0	0	0	0	0
NM_019456	APBB1IP	chr2	22629846	22731173	+	101327	2540	370	501	74	108	166	104	98	47
NM_011789	APC2	chr10	79764564	79781001	+	16437	9072	102	93	43	26	31	24	16	16
NM_133237	APCDD1	chr18	63081980	63112849	+	30869	2799	246	326	287	109	111	117	1220	287
NM_146226	APEH	chr9	107987744	107996811	-	9067	2391	419	482	393	364	468	512	482	365
NM_029943	APEX2	chrX	147006049	147022692	-	16643	1885	109	149	135	153	129	139	270	154
NM_007466	API5	chr2	94251883	94278304	-	26421	3702	1540	2380	2800	2801	2628	2369	1359	1453
NM_011784	APLNR	chr2	84976516	84980080	+	3564	3564	3	3	3	4	0	4	4	4
NM_013474	APOA2	chr1	173155184	173156510	+	1326	521	0	0	0	0	0	1	0	1
NM_009693	APOB	chr12	7984482	8023645	+	39163	13909	0	6	0	14	0	0	0	2
NM_001134391	APOBEC1	chr6	122527809	122552462	-	24653	2209	202	324	69	63	113	97	339	127
NM_001081197	APOBEC4	chr1	154597680	154604674	+	6994	1566	0	0	0	0	0	0	0	0
NM_007469	APOC1	chr7	20274828	20278008	-	3180	554	22	6	23	4	45	12	5851	3011
NM_133997	APOF	chr10	127705052	127707207	+	2155	1930	0	0	0	3	1	0	1	0
NM_013475	APOH	chr11	108256610	108275710	+	19100	1186	5	4	13	4	2	1	0	0
NM_001109914	APOLD1	chr6	134932018	134936854	+	4836	3284	4	6	4	5	3	0	11	9
NM_018816	APOM	chr17	35265941	35268697	-	2756	715	2	1	2	3	4	4	1	1
NM_026565	APOOL	chrX	109425016	109486039	+	61023	960	248	264	73	126	294	305	505	356
NM_007471	APP	chr16	84954680	85173952	-	219272	3132	8074	7419	7872	6796	3153	2471	2481	2530
NM_025825	APPBP2	chr11	85004811	85048622	-	43811	2405	389	532	614	731	809	685	644	665
NM_145221	APPL1	chr14	27732173	27783737	-	51564	6961	736	871	731	661	565	554	525	523
NM_145220	APPL2	chr10	83062778	83111409	-	48631	2945	853	295	194	100	200	204	781	476
NM_001025445	APTX	chr4	40629110	40650227	-	21117	5549	208	221	143	119	249	260	273	223
NM_175105	AQP11	chr7	104874888	104886757	-	11869	1322	22	40	11	15	29	28	52	64
NM_016689	AQP3	chr4	41039756	41045216	-	5460	1763	6	27	4	5	2	0	0	1
NM_007473	AQP7	chr4	40980106	40995169	-	15063	2524	0	3	3	1	2	6	390	148
NM_009702	AQR	chr2	113926896	114001075	-	74179	4897	641	1055	1034	1099	867	868	533	401
NM_013476	AR	chrX	95345088	95512486	+	167398	2999	0	0	0	0	0	0	7	8
NM_001205336	ARAP3	chr18	38132276	38158623	-	26347	5425	2	9	0	1	0	0	0	0
NM_009704	AREG	chr5	91568640	91577458	+	8818	1199	0	5	3	8	0	1	0	0
NM_007479	ARF4	chr14	27457682	27476744	+	19062	2042	2912	3497	3946	3744	2969	2864	2694	2854
NM_001177710	ARFGAP1	chr2	180701929	180717229	+	15300	2398	1127	1012	1225	932	934	937	604	710
NM_023854	ARFGAP2	chr2	91105271	91117528	+	12257	3367	639	859	771	776	1294	1254	1062	925
NM_001081093	ARFIP1	chr3	84300014	84386547	-	86533	2986	814	1028	1006	1021	963	866	725	609
NM_001165995	ARFRP1	chr2	181092394	181100109	-	7715	2325	286	319	331	270	321	372	375	328
NM_007482	ARG1	chr10	24635012	24647276	-	12264	1477	1	1	0	1	1	0	0	2
NM_001145902	ARHGAP1	chr2	91490274	91512477	+	22203	2877	1432	1925	1458	1445	1153	1119	1067	973
NM_001122643	ARHGAP17	chr7	130422662	130513429	-	90767	3302	477	533	649	1031	311	259	159	137
NM_001205236	ARHGAP27	chr11	103192797	103225006	-	32209	4559	41	34	11	8	22	20	89	97
NM_172525	ARHGAP29	chr3	121656243	121719071	+	62828	5090	641	1029	1375	2013	1340	1197	2529	1650
NM_001005508	ARHGAP30	chr1	173319090	173340370	+	21280	4487	0	1	0	0	0	0	0	5
NM_001195632	ARHGAP32	chr9	31923720	32073096	+	149376	10633	320	349	296	297	182	221	315	226
NM_001081123	ARHGAP36	chrX	46823626	46853427	+	29801	3039	0	0	0	0	0	0	0	3
NM_001168288	ARHGAP39	chr15	76554414	76648600	-	94186	4587	147	203	221	182	204	142	186	124
NM_001162423	ARHGAP4	chrX	71139690	71156637	-	16947	3211	5	9	34	25	45	41	33	40
NM_009706	ARHGAP5	chr12	53617063	53668838	+	51775	5196	1667	1782	810	1267	2015	1487	2083	2501
NM_133674	ARHGEF5	chr6	43215642	43239319	+	23677	5407	591	737	378	425	517	582	151	386
NM_001085355	ARID1B	chr17	4995073	5347656	+	352583	11325	1000	1237	525	655	622	631	859	766
NM_001290726	ARID5A	chr1	36364577	36380874	+	16297	5794	27	37	52	80	36	21	23	33
NM_023598	ARID5B	chr10	67558340	67741474	-	183134	4494	755	1087	249	305	484	568	441	468
NM_011790	ARIH2	chr9	108505273	108551711	-	46438	3923	388	512	473	511	767	762	720	830
NM_019968	ARL10	chr13	54676373	54682489	+	6116	1048	81	81	60	52	85	81	71	52
NM_028947	ARL13A	chrX	130722039	130742569	+	20530	1742	0	0	0	0	1	0	0	0
NM_026577	ARL13B	chr16	62793514	62846866	-	53352	3524	548	720	413	476	272	267	238	242
NM_027843	ARL14	chr3	69026340	69027540	+	1200	1200	0	0	0	0	0	0	0	0
NM_207231	ARL5C	chr11	97850893	97857487	-	6594	1561	1	0	2	0	0	0	2	0
